USA,LEB,9411,'2017-05-14 12:00:00','2017-05-14 12:00:00'
USA,JOR,9598,'2017-05-14 12:00:00','2017-05-14 12:00:00'
USA,ISR,9449,'2017-05-14 12:00:00','2017-05-14 12:00:00'
USA,SAU,10899,'2017-05-14 12:00:00','2017-05-14 12:00:00'
USA,YAR,11457,'2017-05-14 12:00:00','2017-05-14 12:00:00'
USA,YEM,11457,'2017-05-14 12:00:00','2017-05-14 12:00:00'
USA,YPR,11758,'2017-05-14 12:00:00','2017-05-14 12:00:00'
USA,KUW,10554,'2017-05-14 12:00:00','2017-05-14 12:00:00'
USA,BAH,11017,'2017-05-14 12:00:00','2017-05-14 12:00:00'
USA,QAT,11059,'2017-05-14 12:00:00','2017-05-14 12:00:00'
USA,UAE,11388,'2017-05-14 12:00:00','2017-05-14 12:00:00'
USA,OMA,11715,'2017-05-14 12:00:00','2017-05-14 12:00:00'
USA,AFG,11184,'2017-05-14 12:00:00','2017-05-14 12:00:00'
USA,TKM,10407,'2017-05-14 12:00:00','2017-05-14 12:00:00'
USA,TAJ,10774,'2017-05-14 12:00:00','2017-05-14 12:00:00'
USA,KYR,10566,'2017-05-14 12:00:00','2017-05-14 12:00:00'
USA,UZB,10494,'2017-05-14 12:00:00','2017-05-14 12:00:00'
USA,KZK,10540,'2017-05-14 12:00:00','2017-05-14 12:00:00'
USA,CHN,11236,'2017-05-14 12:00:00','2017-05-14 12:00:00'
USA,TBT,12293,'2017-05-14 12:00:00','2017-05-14 12:00:00'
USA,MON,10445,'2017-05-14 12:00:00','2017-05-14 12:00:00'
USA,TAW,12648,'2017-05-14 12:00:00','2017-05-14 12:00:00'
USA,KOR,11218,'2017-05-14 12:00:00','2017-05-14 12:00:00'
USA,PRK,11046,'2017-05-14 12:00:00','2017-05-14 12:00:00'
USA,ROK,11218,'2017-05-14 12:00:00','2017-05-14 12:00:00'
USA,JPN,10960,'2017-05-14 12:00:00','2017-05-14 12:00:00'
USA,IND,12106,'2017-05-14 12:00:00','2017-05-14 12:00:00'
USA,BHU,12551,'2017-05-14 12:00:00','2017-05-14 12:00:00'
USA,PAK,11431,'2017-05-14 12:00:00','2017-05-14 12:00:00'
USA,BNG,13000,'2017-05-14 12:00:00','2017-05-14 12:00:00'
USA,MYA,13859,'2017-05-14 12:00:00','2017-05-14 12:00:00'
USA,SRI,14469,'2017-05-14 12:00:00','2017-05-14 12:00:00'
USA,NEP,12451,'2017-05-14 12:00:00','2017-05-14 12:00:00'
USA,MAD,14406,'2017-05-14 12:00:00','2017-05-14 12:00:00'
USA,THI,14227,'2017-05-14 12:00:00','2017-05-14 12:00:00'
USA,CAM,14454,'2017-05-14 12:00:00','2017-05-14 12:00:00'
USA,LAO,13787,'2017-05-14 12:00:00','2017-05-14 12:00:00'
USA,VNM,14478,'2017-05-14 12:00:00','2017-05-14 12:00:00'
USA,DRV,13347,'2017-05-14 12:00:00','2017-05-14 12:00:00'
USA,RVN,14478,'2017-05-14 12:00:00','2017-05-14 12:00:00'
USA,MAL,15350,'2017-05-14 12:00:00','2017-05-14 12:00:00'
USA,SIN,15572,'2017-05-14 12:00:00','2017-05-14 12:00:00'
USA,BRU,15040,'2017-05-14 12:00:00','2017-05-14 12:00:00'
USA,PHI,13834,'2017-05-14 12:00:00','2017-05-14 12:00:00'
USA,INS,16337,'2017-05-14 12:00:00','2017-05-14 12:00:00'
USA,ETM,15953,'2017-05-14 12:00:00','2017-05-14 12:00:00'
USA,AUL,15923,'2017-05-14 12:00:00','2017-05-14 12:00:00'
USA,PNG,14497,'2017-05-14 12:00:00','2017-05-14 12:00:00'
USA,NEW,14058,'2017-05-14 12:00:00','2017-05-14 12:00:00'
USA,VAN,13343,'2017-05-14 12:00:00','2017-05-14 12:00:00'
USA,SOL,13473,'2017-05-14 12:00:00','2017-05-14 12:00:00'
USA,FJI,12479,'2017-05-14 12:00:00','2017-05-14 12:00:00'
USA,MSI,11460,'2017-05-14 12:00:00','2017-05-14 12:00:00'
USA,PAL,13915,'2017-05-14 12:00:00','2017-05-14 12:00:00'
USA,FSM,12382,'2017-05-14 12:00:00','2017-05-14 12:00:00'
USA,WSM,12723,'2017-05-14 12:00:00','2017-05-14 12:00:00'
CAN,USA,731,'2017-05-14 12:00:00','2017-05-14 12:00:00'
CAN,BHM,2343,'2017-05-14 12:00:00','2017-05-14 12:00:00'
CAN,CUB,2536,'2017-05-14 12:00:00','2017-05-14 12:00:00'
CAN,HAI,2979,'2017-05-14 12:00:00','2017-05-14 12:00:00'
CAN,DOM,3027,'2017-05-14 12:00:00','2017-05-14 12:00:00'
CAN,JAM,3039,'2017-05-14 12:00:00','2017-05-14 12:00:00'
CAN,TRI,4087,'2017-05-14 12:00:00','2017-05-14 12:00:00'
CAN,BAR,3885,'2017-05-14 12:00:00','2017-05-14 12:00:00'
CAN,DMA,3787,'2017-05-14 12:00:00','2017-05-14 12:00:00'
CAN,GRN,3922,'2017-05-14 12:00:00','2017-05-14 12:00:00'
CAN,SLU,3753,'2017-05-14 12:00:00','2017-05-14 12:00:00'
CAN,SVG,3817,'2017-05-14 12:00:00','2017-05-14 12:00:00'
CAN,AAB,3397,'2017-05-14 12:00:00','2017-05-14 12:00:00'
CAN,SKN,3334,'2017-05-14 12:00:00','2017-05-14 12:00:00'
CAN,BLZ,3304,'2017-05-14 12:00:00','2017-05-14 12:00:00'
CAN,MEX,3591,'2017-05-14 12:00:00','2017-05-14 12:00:00'
CAN,GUA,3681,'2017-05-14 12:00:00','2017-05-14 12:00:00'
CAN,HON,3633,'2017-05-14 12:00:00','2017-05-14 12:00:00'
CAN,SAL,3724,'2017-05-14 12:00:00','2017-05-14 12:00:00'
CAN,NIC,3822,'2017-05-14 12:00:00','2017-05-14 12:00:00'
